,Unnamed: 0,gain_cs,x,y,gain_na,gain_finished
97,97,2735.0,8.0,1.0,2105.0,0.2396825396825397
98,98,2735.0,8.0,2.0,2115.0,0.2435483870967742
99,99,2745.0,8.0,3.0,2115.0,0.2396825396825397
100,100,2745.0,8.0,4.0,2115.0,0.2396825396825397
101,101,2755.0,8.0,5.0,0.0,0.0
102,102,2745.0,8.0,6.0,0.0,0.0
103,103,2755.0,8.0,7.0,2125.0,0.2396825396825397
104,104,2755.0,8.0,8.0,2125.0,0.2396825396825397
105,105,2735.0,8.0,9.0,2115.0,0.2435483870967742
106,106,2740.0,8.0,10.0,2115.0,0.2416
107,107,2745.0,8.0,11.0,2115.0,0.2396825396825397
108,108,0.0,9.0,0.0,0.0,0.0
109,109,2725.0,9.0,1.0,2095.0,0.2396825396825397
110,110,2725.0,9.0,2.0,2095.0,0.2396825396825397
111,111,2725.0,9.0,3.0,2105.0,0.2435483870967742
112,112,2735.0,9.0,4.0,2105.0,0.2396825396825397
113,113,2735.0,9.0,5.0,2115.0,0.2435483870967742
114,114,2745.0,9.0,6.0,0.0,0.0
115,115,2740.0,9.0,7.0,2115.0,0.2416
116,116,2745.0,9.0,8.0,2115.0,0.2396825396825397
117,117,2745.0,9.0,9.0,2105.0,0.2359375
118,118,2745.0,9.0,10.0,2115.0,0.2396825396825397
119,119,2745.0,9.0,11.0,2115.0,0.2396825396825397
120,120,0.0,10.0,0.0,0.0,0.0
121,121,2705.0,10.0,1.0,2085.0,0.2435483870967742
122,122,2715.0,10.0,2.0,2095.0,0.2435483870967742
123,123,2745.0,10.0,3.0,2115.0,0.2396825396825397
124,124,0.0,10.0,4.0,2115.0,0.0
125,125,2745.0,10.0,5.0,2115.0,0.2396825396825397
126,126,2745.0,10.0,6.0,2115.0,0.2396825396825397
127,127,2735.0,10.0,7.0,2110.0,0.2416
128,128,2735.0,10.0,8.0,2115.0,0.2435483870967742
129,129,2735.0,10.0,9.0,2115.0,0.2435483870967742
130,130,2725.0,10.0,10.0,2115.0,0.24754098360655738
131,131,2735.0,10.0,11.0,2105.0,0.2396825396825397
132,132,0.0,11.0,0.0,0.0,0.0
133,133,2715.0,11.0,1.0,2075.0,0.2359375
134,134,0.0,11.0,2.0,0.0,0.0
135,135,2725.0,11.0,3.0,2105.0,0.2435483870967742
136,136,2735.0,11.0,4.0,2105.0,0.2396825396825397
137,137,2725.0,11.0,5.0,2105.0,0.2435483870967742
138,138,2745.0,11.0,6.0,2115.0,0.2396825396825397
139,139,2735.0,11.0,7.0,2105.0,0.2396825396825397
140,140,2735.0,11.0,8.0,2115.0,0.2435483870967742
141,141,2735.0,11.0,9.0,2105.0,0.2396825396825397
142,142,2735.0,11.0,10.0,2115.0,0.2435483870967742
143,143,2745.0,11.0,11.0,2115.0,0.2396825396825397
