,Unnamed: 0,gain_cs,x,y,gain_na,gain_finished
95,95,2744.0,7.0,11.0,2115.0,0.24125364431486881
96,96,0.0,8.0,0.0,0.0,0.0
97,97,2722.0,8.0,1.0,2105.0,0.2432035268185158
98,98,2730.0,8.0,2.0,2115.0,0.2424908424908425
99,99,2747.0,8.0,3.0,2115.0,0.2409901710957408
100,100,2748.0,8.0,4.0,2115.0,0.24090247452692867
101,101,2756.0,8.0,5.0,0.0,0.24020319303338172
102,102,2750.0,8.0,6.0,0.0,0.24072727272727273
103,103,2756.0,8.0,7.0,2125.0,0.24020319303338172
104,104,2755.0,8.0,8.0,2125.0,0.24029038112522685
105,105,2745.0,8.0,9.0,2115.0,0.24116575591985429
106,106,2741.0,8.0,10.0,2115.0,0.24151769427216344
107,107,2741.0,8.0,11.0,2115.0,0.24151769427216344
108,108,0.0,9.0,0.0,0.0,0.0
109,109,2728.0,9.0,1.0,2095.0,0.24266862170087977
110,110,2729.0,9.0,2.0,2095.0,0.24257969952363503
111,111,2717.0,9.0,3.0,2105.0,0.24365108575634892
112,112,2743.0,9.0,4.0,2105.0,0.24134159679183376
113,113,2737.0,9.0,5.0,2115.0,0.24187066130800147
114,114,2743.0,9.0,6.0,0.0,0.24134159679183376
115,115,2743.0,9.0,7.0,2115.0,0.24134159679183376
116,116,2749.0,9.0,8.0,2115.0,0.24081484176064022
117,117,2748.0,9.0,9.0,2105.0,0.24090247452692867
118,118,2744.0,9.0,10.0,2115.0,0.24125364431486881
119,119,2739.0,9.0,11.0,2115.0,0.2416940489229646
120,120,0.0,10.0,0.0,0.0,0.0
121,121,2718.0,10.0,1.0,2085.0,0.24356144223693893
122,122,2729.0,10.0,2.0,2095.0,0.24257969952363503
123,123,2744.0,10.0,3.0,2115.0,0.24125364431486881
124,124,0.0,10.0,4.0,2115.0,0.0
125,125,2742.0,10.0,5.0,2115.0,0.2414296134208607
126,126,2750.0,10.0,6.0,2115.0,0.24072727272727273
127,127,2743.0,10.0,7.0,2110.0,0.24134159679183376
128,128,2740.0,10.0,8.0,2115.0,0.2416058394160584
129,129,2739.0,10.0,9.0,2115.0,0.2416940489229646
130,130,2734.0,10.0,10.0,2115.0,0.2421360643745428
131,131,0.0,10.0,11.0,2105.0,0.0
132,132,0.0,11.0,0.0,0.0,0.0
