,Unnamed: 0,gain_cs,x,y,gain_na,gain_finished
0,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0
2,2,0.0,0.0,2.0,0.0,0.0
3,3,0.0,0.0,3.0,0.0,0.0
4,4,0.0,0.0,4.0,0.0,0.0
5,5,0.0,0.0,5.0,0.0,0.0
6,6,0.0,0.0,6.0,0.0,0.0
7,7,0.0,0.0,7.0,0.0,0.0
8,8,0.0,0.0,8.0,0.0,0.0
9,9,0.0,0.0,9.0,0.0,0.0
10,10,0.0,0.0,10.0,0.0,0.0
11,11,0.0,0.0,11.0,0.0,0.0
12,12,0.0,1.0,0.0,0.0,0.0
13,13,2733.0,1.0,1.0,2105.0,0.24044585987261147
14,14,2739.0,1.0,2.0,2105.0,0.23817034700315456
15,15,2743.0,1.0,3.0,2115.0,0.24044585987261147
16,16,2751.0,1.0,4.0,2115.0,0.23742138364779874
17,17,2745.0,1.0,5.0,2105.0,0.2359375
18,18,2747.0,1.0,6.0,2115.0,0.2389240506329114
19,19,2741.0,1.0,7.0,2115.0,0.24121405750798722
20,20,2752.0,1.0,8.0,2120.0,0.2389240506329114
21,21,2745.0,1.0,9.0,2115.0,0.2396825396825397
22,22,2735.0,1.0,10.0,2105.0,0.2396825396825397
23,23,0.0,1.0,11.0,0.0,0.0
24,24,0.0,2.0,0.0,0.0,0.0
25,25,2729.0,2.0,1.0,2105.0,0.2419871794871795
26,26,2737.0,2.0,2.0,2105.0,0.2389240506329114
27,27,2754.0,2.0,3.0,2125.0,0.24006359300476948
28,28,2737.0,2.0,4.0,2105.0,0.2389240506329114
29,29,2744.0,2.0,5.0,0.0,0
30,30,2746.0,2.0,6.0,2110.0,0.23742138364779874
31,31,2741.0,2.0,7.0,2115.0,0.24121405750798722
32,32,0.0,2.0,8.0,0.0,0.0
33,33,0.0,2.0,9.0,0.0,0.0
34,34,0.0,2.0,10.0,0.0,0.0
35,35,2741.0,2.0,11.0,2115.0,0.24121405750798722
36,36,0.0,3.0,0.0,0.0,0.0
37,37,0.0,3.0,1.0,2105.0,0
38,38,2732.0,3.0,2.0,2115.0,0.24473257698541329
39,39,2729.0,3.0,3.0,2110.0,0.24394184168012925
40,40,2748.0,3.0,4.0,2120.0,0.24044585987261147
41,41,2755.0,3.0,5.0,2125.0,0.2396825396825397
42,42,2745.0,3.0,6.0,2125.0,0.2435483870967742
43,43,2749.0,3.0,7.0,2125.0,0.2419871794871795
44,44,0.0,3.0,8.0,0.0,0.0
45,45,0.0,3.0,9.0,0.0,0.0
46,46,2744.0,3.0,10.0,2115.0,0.24006359300476948
47,47,0.0,3.0,11.0,0.0,0.0
48,48,0.0,4.0,0.0,0.0,0.0
49,49,2742.0,4.0,1.0,2115.0,0.24082934609250398
50,50,2740.0,4.0,2.0,2115.0,0.2416
51,51,2747.0,4.0,3.0,2115.0,0.2389240506329114
52,52,2753.0,4.0,4.0,2115.0,0.23667711598746083
53,53,2750.0,4.0,5.0,2115.0,0.2377952755905512
54,54,2749.0,4.0,6.0,2115.0,0.23817034700315456
55,55,2753.0,4.0,7.0,0.0,0
